GrossQTYRan,NumPerUnit,NumPerBundle,BoxLength,BoxWidth,BoxDepth,SheetLength,SheetWidth,NumInk,PercInk,Cost1,prodmonth,CostSet,CostRun,Cost1log,CostSetlog,CostRunlog,Machine4,ProductCodeEVOL,StyleRSC,StyleRSCL,CuttingDieOthers,CuttingDieUN,Grade40,Grade200,Grade32,FluteC,GlueJointGlue,WRAY,33Medium,26Medium,RockTennMRA,NUGHZ,NUG,40Medium,WRADW,33MediumDW,26MediumDW,Michelman40E,250BoxUnit,500BoxUnit,100Coverage,15PerBundle,BoxWidth55,DCAttachment,EaInkChange,EaPlateChange,ExtGlueTab,FullDieCut,FullPartDC,HHAttachment,Ink50
2001,500,5,18.375,10.375,4.375,59.5,15.25,1,0.15,-0.0584662,9,-0.0288,-0.0296662,0.39064912,0.330068636,0.414468705,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3102,500,25,14,14,3.75,58,18.25,1,0.15,0.3191476,11,-0.0349,0.3540476,0.452705369,0.328827939,0.474317452,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4163,900,0,15,7.75,6.5,47.5,14.875,1,0.1,0.1407094,9,-0.0113,0.1520094,0.424482457,0.333608468,0.443834815,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1660,500,5,9.5,8.1875,6.25,37.375,15,1,0.05,0.023108,6,-0.0351,0.058208,0.404825988,0.3287872,0.428920804,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5454,600,0,13.5,7.5,13.25,44,21.375,2,0.24,0.3781452,9,-0.0408,0.4189452,0.461647368,0.327624539,0.483671723,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,250,0,17.375,11.625,7.1875,60,19.3125,2,0.2,0.1256134,5,0.072,0.0536134,0.422008455,0.35007349,0.428176957,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1538,500,5,18.5,9.625,5.5625,58.25,15.8125,1,0.15,0.3157844,2,0.0598,0.2559844,0.452190034,0.347700715,0.459789083,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2781,1620,0,6.3125,5.625,10,25.625,15.9375,1,0.15,0.2333651,12,0.2225,0.0108651,0.439366157,0.37832521,0.421194428,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
521,500,0,14,11,5,52,16.625,1,0.15,0.1386098,11,0.0712,0.0674098,0.424139208,0.349918295,0.430406716,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5201,900,0,12.5,6.375,7.625,39.75,14.5,1,0.2,0.0394938,4,0.1146,-0.0751062,0.407618718,0.358258542,0.406802483,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5214,375,0,16.1875,14.1875,2.5625,62.75,17.3125,1,0.25,0.0327332,9,-0.0507,0.0834332,0.406468644,0.325597753,0.432982111,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3001,500,5,12.375,6,12.75,38.6875,19,1,0.15,0.1944255,6,0.0155,0.1789255,0.433173137,0.338974151,0.448021465,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
425,500,0,12.5,9.5625,8.625,46.125,18.625,1,0.15,0.514565,3,0.0301,0.484465,0.481644937,0.34186959,0.492915618,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1441,360,15,18.25,10,6.75,58.5,17.375,1,0.1,-0.0168403,10,-0.0135,-0.0033403,0.397941138,0.333165043,0.418849035,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3001,500,5,12.375,6,12.75,38.6875,19,2,0.3,0.1734255,6,0.0215,0.1519255,0.42979624,0.340166395,0.443821702,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3520,250,0,19.625,12.9375,7.25,67.125,20.625,1,0.15,0.024452,7,-0.0307,0.055152,0.405055731,0.329682569,0.428426192,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,250,0,20,13,7,68,20.625,1,0.15,-0.019822,11,-0.0288,0.008978,0.397422856,0.330068636,0.420883585,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
